_id,objectID,CAP,MUNICIPIO,ID_NIL,NIL,LONG_X_4326,LAT_Y_4326
69,5382,20138,4,31,MONLUE' - PONTE LAMBRO,9.262832799,45.4416971
70,5,20153,7,55,BAGGIO - Q.RE DEGLI OLMI - Q.RE VALSESIA,9.090026279,45.46387231
71,40000,20152,7,55,BAGGIO - Q.RE DEGLI OLMI - Q.RE VALSESIA,9.096925325,45.45498951
72,2149,20153,7,61,QUARTO CAGNINO,9.103469222,45.47366034
73,55,20153,7,88,PARCO BOSCO IN CITTA',9.105708713,45.47852035
74,29120,20151,8,65,Q.RE GALLARATESE - Q.RE SAN LEONARDO - LAMPUGNANO,9.105433838,45.49516575
75,113,20147,6,53,LORENTEGGIO,9.130817267,45.45552751
76,5866,20151,8,65,Q.RE GALLARATESE - Q.RE SAN LEONARDO - LAMPUGNANO,9.128104144,45.48691015
77,3406,20157,8,76,QUARTO OGGIARO - VIALBA - MUSOCCO,9.131238085,45.5156131
78,21512,20147,7,52,BANDE NERE,9.133362782,45.46293068
79,5380,20148,7,60,STADIO - IPPODROMI,9.138208848,45.47635946
80,4231,20143,6,48,RONCHETTO SUL NAVIGLIO - Q.RE LODOVICO IL MORO,9.139911158,45.44387989
81,2562,20146,7,52,BANDE NERE,9.140327334,45.46096227
82,28719,20148,7,57,SAN SIRO,9.140950968,45.47765751
83,3424,20149,8,71,VILLAPIZZONE - CAGNOLA - BOLDINASCO,9.145153238,45.48841289
84,25112,20157,8,76,QUARTO OGGIARO - VIALBA - MUSOCCO,9.140188725,45.51912396
85,437,20149,8,67,PORTELLO,9.150993516,45.48421428
86,10689,20149,7,58,DE ANGELI - MONTE ROSA,9.154260238,45.46822294
87,479,20155,8,71,VILLAPIZZONE - CAGNOLA - BOLDINASCO,9.153218552,45.4947828
88,135,20144,7,51,PORTA MAGENTA,9.160346403,45.46073323
89,435,20154,8,69,SARPI,9.165037456,45.4833675
90,1345,20142,5,42,STADERA - CHIESA ROSSA - Q.RE TORRETTA - CONCA FALLATA,9.169413862,45.42832408
91,3370,20143,6,44,PORTA TICINESE - CONCHETTA,9.166997558,45.447551
92,127,20161,9,80,AFFORI,9.169996853,45.51727183
93,4215,20161,9,83,BRUZZANO,9.1710777,45.53054687
94,11,20142,5,41,GRATOSOGLIO - Q.RE MISSAGLIA - Q.RE TERRAZZE,9.172294824,45.41659654
95,294,20142,5,41,GRATOSOGLIO - Q.RE MISSAGLIA - Q.RE TERRAZZE,9.178436964,45.42060428
96,31,20141,5,43,TIBALDI,9.178328847,45.44053821
97,110,20158,9,79,DERGANO,9.175664323,45.50201915
98,142,20158,9,79,DERGANO,9.177589046,45.49939579
99,12685,20161,9,83,BRUZZANO,9.17502423,45.52370063
100,10285,20161,9,83,BRUZZANO,9.175502699,45.52430741
101,2157,20141,5,43,TIBALDI,9.181899242,45.43771615
102,36,20141,5,42,STADERA - CHIESA ROSSA - Q.RE TORRETTA - CONCA FALLATA,9.186741745,45.43466818
103,290,20141,5,43,TIBALDI,9.185481897,45.44370951
104,3360,20141,5,37,MORIVIONE,9.190798473,45.44426431
105,103,20122,1,1,DUOMO,9.187669141,45.45747707
106,4222,20124,9,11,ISOLA,9.190971388,45.48572096
107,531,20141,5,38,VIGENTINO - Q.RE FATIMA,9.195433632,45.43400728
108,152,20121,1,2,BRERA,9.192090331,45.47204634
109,29130,20154,9,9,PORTA GARIBALDI - PORTA NUOVA,9.192316623,45.48357975
110,509,20121,1,3,GIARDINI P.TA VENEZIA,9.200284748,45.4747154
111,327,20162,9,14,NIGUARDA - CA' GRANDA - PRATO CENTENARO - Q.RE FULVIO TESTI,9.204163659,45.5163021
112,4165,20125,2,13,GRECO - SEGNANO,9.208760325,45.49710119
113,4211,20137,4,28,UMBRIA - MOLISE - CALVAIRATE,9.214557079,45.44699103
114,175,20135,4,26,XXII MARZO,9.212888889,45.45804404
115,179,20129,4,26,XXII MARZO,9.211983831,45.46242216
116,3376,20129,4,26,XXII MARZO,9.213216399,45.46790409
117,3365,20137,4,28,UMBRIA - MOLISE - CALVAIRATE,9.218065906,45.45413005
118,491,20131,3,20,LORETO - CASORETTO - NOLO,9.223647463,45.48884418
119,331,20126,2,16,GORLA - PRECOTTO,9.222571623,45.52175846
120,535,20139,4,35,LODI - CORVETTO,9.226778644,45.44250026
121,482,20133,3,22,CITTA' STUDI,9.229683879,45.47360149
122,5823,20133,3,22,CITTA' STUDI,9.226186595,45.47906531
123,14285,20127,2,20,LORETO - CASORETTO - NOLO,9.225437565,45.49407024
124,15900,20139,4,35,LODI - CORVETTO,9.235779921,45.43497947
125,2956,20133,3,22,CITTA' STUDI,9.234801005,45.47326701
126,530,20133,3,22,CITTA' STUDI,9.236339124,45.48442428
127,28322,20128,2,16,GORLA - PRECOTTO,9.234033373,45.50464136
128,172,20138,4,30,TALIEDO - MORSENCHIO - Q.RE FORLANINI,9.241318806,45.45832297
129,5384,20138,4,30,TALIEDO - MORSENCHIO - Q.RE FORLANINI,9.242317538,45.46155917
130,484,20134,3,18,CIMIANO - ROTTOLE - Q.RE FELTRE,9.252472556,45.49815305
131,29116,20128,2,17,ADRIANO,9.251774876,45.51772178
132,28315,20134,3,24,PARCO FORLANINI - CAVRIANO,9.261667774,45.47084427
133,347,20138,4,31,MONLUE' - PONTE LAMBRO,9.265546356,45.44431537
134,2556,20152,7,56,FORZE ARMATE,9.101654334,45.46125944
135,68,20152,7,56,FORZE ARMATE,9.102930773,45.46001934
136,8287,20156,8,72,MAGGIORE - MUSOCCO - CERTOSA,9.103973615,45.50974426
137,5838,20156,8,72,MAGGIORE - MUSOCCO - CERTOSA,9.10445402,45.51137426
138,28723,20151,8,65,Q.RE GALLARATESE - Q.RE SAN LEONARDO - LAMPUGNANO,9.109127136,45.50296363
139,5836,20151,7,60,STADIO - IPPODROMI,9.129595643,45.47673005
140,115,20157,8,76,QUARTO OGGIARO - VIALBA - MUSOCCO,9.132803221,45.51925247
141,365,20146,7,52,BANDE NERE,9.137550243,45.46158753
142,2170,20148,8,66,QT 8,9.135575451,45.48483825
143,4188,20148,8,66,QT 8,9.138068251,45.48352386
144,268,20148,8,66,QT 8,9.138741199,45.48597032
145,4179,20157,8,76,QUARTO OGGIARO - VIALBA - MUSOCCO,9.140843674,45.51328086
