Age group,Applicant type,Domicile,Gender,Reference point,Status,Year,Applicants
20,Direct to Clearing,EU (excluding UK),All,JCQ+8,Other (Direct to Clearing),2018,60
20,Direct to Clearing,EU (excluding UK),All,JCQ,Other (Direct to Clearing),2018,70
20,Direct to Clearing,EU (excluding UK),All,SQA results day,Other (Direct to Clearing),2018,50
20,Direct to Clearing,EU (excluding UK),All,1 day after SQA results day,Placed (Direct to Clearing),2018,30
20,Direct to Clearing,EU (excluding UK),All,JCQ+2,Placed (Direct to Clearing),2018,50
20,Direct to Clearing,EU (excluding UK),All,JCQ+3,Placed (Direct to Clearing),2018,50
20,Direct to Clearing,EU (excluding UK),All,JCQ+4,Placed (Direct to Clearing),2018,50
20,Direct to Clearing,EU (excluding UK),All,JCQ+5,Placed (Direct to Clearing),2018,60
20,Direct to Clearing,EU (excluding UK),All,JCQ+6,Placed (Direct to Clearing),2018,60
20,Direct to Clearing,EU (excluding UK),All,JCQ+7,Placed (Direct to Clearing),2018,70
20,Direct to Clearing,EU (excluding UK),All,JCQ+8,Placed (Direct to Clearing),2018,80
20,Direct to Clearing,EU (excluding UK),All,JCQ,Placed (Direct to Clearing),2018,40
20,Direct to Clearing,EU (excluding UK),All,SQA results day,Placed (Direct to Clearing),2018,30
20,Direct to Clearing,EU (excluding UK),All,1 day after SQA results day,All,2019,80
20,Direct to Clearing,EU (excluding UK),All,JCQ+2,All,2019,120
20,Direct to Clearing,EU (excluding UK),All,JCQ+3,All,2019,120
20,Direct to Clearing,EU (excluding UK),All,JCQ+4,All,2019,120
20,Direct to Clearing,EU (excluding UK),All,JCQ+5,All,2019,120
20,Direct to Clearing,EU (excluding UK),All,JCQ+6,All,2019,130
20,Direct to Clearing,EU (excluding UK),All,JCQ+7,All,2019,130
20,Direct to Clearing,EU (excluding UK),All,JCQ+8,All,2019,130
20,Direct to Clearing,EU (excluding UK),All,JCQ,All,2019,100
20,Direct to Clearing,EU (excluding UK),All,SQA results day,All,2019,80
20,Direct to Clearing,EU (excluding UK),All,1 day after SQA results day,Other (Direct to Clearing),2019,60
20,Direct to Clearing,EU (excluding UK),All,JCQ+2,Other (Direct to Clearing),2019,70
20,Direct to Clearing,EU (excluding UK),All,JCQ+3,Other (Direct to Clearing),2019,70
20,Direct to Clearing,EU (excluding UK),All,JCQ+4,Other (Direct to Clearing),2019,70
20,Direct to Clearing,EU (excluding UK),All,JCQ+5,Other (Direct to Clearing),2019,70
20,Direct to Clearing,EU (excluding UK),All,JCQ+6,Other (Direct to Clearing),2019,70
20,Direct to Clearing,EU (excluding UK),All,JCQ+7,Other (Direct to Clearing),2019,70
20,Direct to Clearing,EU (excluding UK),All,JCQ+8,Other (Direct to Clearing),2019,70
20,Direct to Clearing,EU (excluding UK),All,JCQ,Other (Direct to Clearing),2019,70
20,Direct to Clearing,EU (excluding UK),All,SQA results day,Other (Direct to Clearing),2019,60
20,Direct to Clearing,EU (excluding UK),All,1 day after SQA results day,Placed (Direct to Clearing),2019,20
20,Direct to Clearing,EU (excluding UK),All,JCQ+2,Placed (Direct to Clearing),2019,50
20,Direct to Clearing,EU (excluding UK),All,JCQ+3,Placed (Direct to Clearing),2019,50
20,Direct to Clearing,EU (excluding UK),All,JCQ+4,Placed (Direct to Clearing),2019,50
20,Direct to Clearing,EU (excluding UK),All,JCQ+5,Placed (Direct to Clearing),2019,50
20,Direct to Clearing,EU (excluding UK),All,JCQ+6,Placed (Direct to Clearing),2019,60
20,Direct to Clearing,EU (excluding UK),All,JCQ+7,Placed (Direct to Clearing),2019,60
20,Direct to Clearing,EU (excluding UK),All,JCQ+8,Placed (Direct to Clearing),2019,60
20,Direct to Clearing,EU (excluding UK),All,JCQ,Placed (Direct to Clearing),2019,30
20,Direct to Clearing,EU (excluding UK),All,SQA results day,Placed (Direct to Clearing),2019,20
20,Direct to Clearing,EU (excluding UK),All,1 day after SQA results day,All,2020,80
20,Direct to Clearing,EU (excluding UK),All,JCQ+2,All,2020,120
20,Direct to Clearing,EU (excluding UK),All,JCQ+3,All,2020,120
20,Direct to Clearing,EU (excluding UK),All,JCQ+4,All,2020,130
20,Direct to Clearing,EU (excluding UK),All,JCQ+5,All,2020,130
20,Direct to Clearing,EU (excluding UK),All,JCQ+6,All,2020,140
20,Direct to Clearing,EU (excluding UK),All,JCQ+7,All,2020,140
20,Direct to Clearing,EU (excluding UK),All,JCQ+8,All,2020,150
20,Direct to Clearing,EU (excluding UK),All,JCQ,All,2020,100
20,Direct to Clearing,EU (excluding UK),All,SQA results day,All,2020,80
20,Direct to Clearing,EU (excluding UK),All,1 day after SQA results day,Other (Direct to Clearing),2020,70
20,Direct to Clearing,EU (excluding UK),All,JCQ+2,Other (Direct to Clearing),2020,90
20,Direct to Clearing,EU (excluding UK),All,JCQ+3,Other (Direct to Clearing),2020,80
20,Direct to Clearing,EU (excluding UK),All,JCQ+4,Other (Direct to Clearing),2020,80
20,Direct to Clearing,EU (excluding UK),All,JCQ+5,Other (Direct to Clearing),2020,90
20,Direct to Clearing,EU (excluding UK),All,JCQ+6,Other (Direct to Clearing),2020,90
20,Direct to Clearing,EU (excluding UK),All,JCQ+7,Other (Direct to Clearing),2020,90
20,Direct to Clearing,EU (excluding UK),All,JCQ+8,Other (Direct to Clearing),2020,90
20,Direct to Clearing,EU (excluding UK),All,JCQ,Other (Direct to Clearing),2020,80
20,Direct to Clearing,EU (excluding UK),All,SQA results day,Other (Direct to Clearing),2020,70
20,Direct to Clearing,EU (excluding UK),All,1 day after SQA results day,Placed (Direct to Clearing),2020,10
20,Direct to Clearing,EU (excluding UK),All,JCQ+2,Placed (Direct to Clearing),2020,40
20,Direct to Clearing,EU (excluding UK),All,JCQ+3,Placed (Direct to Clearing),2020,40
20,Direct to Clearing,EU (excluding UK),All,JCQ+4,Placed (Direct to Clearing),2020,40
20,Direct to Clearing,EU (excluding UK),All,JCQ+5,Placed (Direct to Clearing),2020,50
20,Direct to Clearing,EU (excluding UK),All,JCQ+6,Placed (Direct to Clearing),2020,50
20,Direct to Clearing,EU (excluding UK),All,JCQ+7,Placed (Direct to Clearing),2020,50
20,Direct to Clearing,EU (excluding UK),All,JCQ+8,Placed (Direct to Clearing),2020,60
20,Direct to Clearing,EU (excluding UK),All,JCQ,Placed (Direct to Clearing),2020,30
20,Direct to Clearing,EU (excluding UK),All,SQA results day,Placed (Direct to Clearing),2020,10
20,Direct to Clearing,EU (excluding UK),All,1 day after SQA results day,All,2021,40
20,Direct to Clearing,EU (excluding UK),All,JCQ+2,All,2021,40
20,Direct to Clearing,EU (excluding UK),All,JCQ+3,All,2021,50
20,Direct to Clearing,EU (excluding UK),All,JCQ+4,All,2021,50
20,Direct to Clearing,EU (excluding UK),All,JCQ+5,All,2021,50
20,Direct to Clearing,EU (excluding UK),All,JCQ+6,All,2021,50
20,Direct to Clearing,EU (excluding UK),All,JCQ+7,All,2021,50
20,Direct to Clearing,EU (excluding UK),All,JCQ+8,All,2021,50
20,Direct to Clearing,EU (excluding UK),All,JCQ,All,2021,40
20,Direct to Clearing,EU (excluding UK),All,SQA results day,All,2021,40
20,Direct to Clearing,EU (excluding UK),All,1 day after SQA results day,Other (Direct to Clearing),2021,30
20,Direct to Clearing,EU (excluding UK),All,JCQ+2,Other (Direct to Clearing),2021,30
20,Direct to Clearing,EU (excluding UK),All,JCQ+3,Other (Direct to Clearing),2021,30
20,Direct to Clearing,EU (excluding UK),All,JCQ+4,Other (Direct to Clearing),2021,30
20,Direct to Clearing,EU (excluding UK),All,JCQ+5,Other (Direct to Clearing),2021,30
20,Direct to Clearing,EU (excluding UK),All,JCQ+6,Other (Direct to Clearing),2021,30
20,Direct to Clearing,EU (excluding UK),All,JCQ+7,Other (Direct to Clearing),2021,30
20,Direct to Clearing,EU (excluding UK),All,JCQ+8,Other (Direct to Clearing),2021,30
20,Direct to Clearing,EU (excluding UK),All,JCQ,Other (Direct to Clearing),2021,30
20,Direct to Clearing,EU (excluding UK),All,SQA results day,Other (Direct to Clearing),2021,30
20,Direct to Clearing,EU (excluding UK),All,1 day after SQA results day,Placed (Direct to Clearing),2021,10
20,Direct to Clearing,EU (excluding UK),All,JCQ+2,Placed (Direct to Clearing),2021,10
20,Direct to Clearing,EU (excluding UK),All,JCQ+3,Placed (Direct to Clearing),2021,20
20,Direct to Clearing,EU (excluding UK),All,JCQ+4,Placed (Direct to Clearing),2021,20
20,Direct to Clearing,EU (excluding UK),All,JCQ+5,Placed (Direct to Clearing),2021,20
20,Direct to Clearing,EU (excluding UK),All,JCQ+6,Placed (Direct to Clearing),2021,20
20,Direct to Clearing,EU (excluding UK),All,JCQ+7,Placed (Direct to Clearing),2021,20
20,Direct to Clearing,EU (excluding UK),All,JCQ+8,Placed (Direct to Clearing),2021,20
20,Direct to Clearing,EU (excluding UK),All,JCQ,Placed (Direct to Clearing),2021,10
20,Direct to Clearing,EU (excluding UK),All,SQA results day,Placed (Direct to Clearing),2021,10
21-24,Direct to Clearing,EU (excluding UK),All,1 day after SQA results day,All,2012,120
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+2,All,2012,160
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+3,All,2012,160
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+4,All,2012,170
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+5,All,2012,180
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+6,All,2012,180
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+7,All,2012,180
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+8,All,2012,190
21-24,Direct to Clearing,EU (excluding UK),All,JCQ,All,2012,150
21-24,Direct to Clearing,EU (excluding UK),All,SQA results day,All,2012,110
21-24,Direct to Clearing,EU (excluding UK),All,1 day after SQA results day,Other (Direct to Clearing),2012,110
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+2,Other (Direct to Clearing),2012,140
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+3,Other (Direct to Clearing),2012,140
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+4,Other (Direct to Clearing),2012,130
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+5,Other (Direct to Clearing),2012,120
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+6,Other (Direct to Clearing),2012,120
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+7,Other (Direct to Clearing),2012,120
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+8,Other (Direct to Clearing),2012,120
21-24,Direct to Clearing,EU (excluding UK),All,JCQ,Other (Direct to Clearing),2012,130
21-24,Direct to Clearing,EU (excluding UK),All,SQA results day,Other (Direct to Clearing),2012,100
21-24,Direct to Clearing,EU (excluding UK),All,1 day after SQA results day,Placed (Direct to Clearing),2012,10
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+2,Placed (Direct to Clearing),2012,20
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+3,Placed (Direct to Clearing),2012,20
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+4,Placed (Direct to Clearing),2012,40
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+5,Placed (Direct to Clearing),2012,50
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+6,Placed (Direct to Clearing),2012,60
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+7,Placed (Direct to Clearing),2012,70
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+8,Placed (Direct to Clearing),2012,70
21-24,Direct to Clearing,EU (excluding UK),All,JCQ,Placed (Direct to Clearing),2012,20
21-24,Direct to Clearing,EU (excluding UK),All,SQA results day,Placed (Direct to Clearing),2012,10
21-24,Direct to Clearing,EU (excluding UK),All,1 day after SQA results day,All,2013,110
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+2,All,2013,140
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+3,All,2013,140
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+4,All,2013,150
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+5,All,2013,150
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+6,All,2013,160
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+7,All,2013,160
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+8,All,2013,160
21-24,Direct to Clearing,EU (excluding UK),All,JCQ,All,2013,130
21-24,Direct to Clearing,EU (excluding UK),All,SQA results day,All,2013,110
21-24,Direct to Clearing,EU (excluding UK),All,1 day after SQA results day,Other (Direct to Clearing),2013,90
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+2,Other (Direct to Clearing),2013,100
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+3,Other (Direct to Clearing),2013,100
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+4,Other (Direct to Clearing),2013,110
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+5,Other (Direct to Clearing),2013,100
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+6,Other (Direct to Clearing),2013,100
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+7,Other (Direct to Clearing),2013,100
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+8,Other (Direct to Clearing),2013,100
21-24,Direct to Clearing,EU (excluding UK),All,JCQ,Other (Direct to Clearing),2013,100
21-24,Direct to Clearing,EU (excluding UK),All,SQA results day,Other (Direct to Clearing),2013,90
21-24,Direct to Clearing,EU (excluding UK),All,1 day after SQA results day,Placed (Direct to Clearing),2013,20
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+2,Placed (Direct to Clearing),2013,30
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+3,Placed (Direct to Clearing),2013,30
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+4,Placed (Direct to Clearing),2013,40
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+5,Placed (Direct to Clearing),2013,50
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+6,Placed (Direct to Clearing),2013,50
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+7,Placed (Direct to Clearing),2013,60
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+8,Placed (Direct to Clearing),2013,60
21-24,Direct to Clearing,EU (excluding UK),All,JCQ,Placed (Direct to Clearing),2013,30
21-24,Direct to Clearing,EU (excluding UK),All,SQA results day,Placed (Direct to Clearing),2013,20
21-24,Direct to Clearing,EU (excluding UK),All,1 day after SQA results day,All,2014,80
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+2,All,2014,120
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+3,All,2014,120
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+4,All,2014,130
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+5,All,2014,140
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+6,All,2014,140
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+7,All,2014,140
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+8,All,2014,150
21-24,Direct to Clearing,EU (excluding UK),All,JCQ,All,2014,110
21-24,Direct to Clearing,EU (excluding UK),All,SQA results day,All,2014,80
21-24,Direct to Clearing,EU (excluding UK),All,1 day after SQA results day,Other (Direct to Clearing),2014,70
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+2,Other (Direct to Clearing),2014,100
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+3,Other (Direct to Clearing),2014,100
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+4,Other (Direct to Clearing),2014,90
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+5,Other (Direct to Clearing),2014,90
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+6,Other (Direct to Clearing),2014,90
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+7,Other (Direct to Clearing),2014,90
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+8,Other (Direct to Clearing),2014,90
21-24,Direct to Clearing,EU (excluding UK),All,JCQ,Other (Direct to Clearing),2014,90
21-24,Direct to Clearing,EU (excluding UK),All,SQA results day,Other (Direct to Clearing),2014,70
21-24,Direct to Clearing,EU (excluding UK),All,1 day after SQA results day,Placed (Direct to Clearing),2014,10
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+2,Placed (Direct to Clearing),2014,20
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+3,Placed (Direct to Clearing),2014,20
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+4,Placed (Direct to Clearing),2014,40
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+5,Placed (Direct to Clearing),2014,50
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+6,Placed (Direct to Clearing),2014,50
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+7,Placed (Direct to Clearing),2014,50
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+8,Placed (Direct to Clearing),2014,60
21-24,Direct to Clearing,EU (excluding UK),All,JCQ,Placed (Direct to Clearing),2014,20
21-24,Direct to Clearing,EU (excluding UK),All,SQA results day,Placed (Direct to Clearing),2014,10
21-24,Direct to Clearing,EU (excluding UK),All,1 day after SQA results day,All,2015,110
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+2,All,2015,150
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+3,All,2015,160
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+4,All,2015,160
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+5,All,2015,160
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+6,All,2015,160
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+7,All,2015,170
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+8,All,2015,170
21-24,Direct to Clearing,EU (excluding UK),All,JCQ,All,2015,140
21-24,Direct to Clearing,EU (excluding UK),All,SQA results day,All,2015,110
21-24,Direct to Clearing,EU (excluding UK),All,1 day after SQA results day,Other (Direct to Clearing),2015,90
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+2,Other (Direct to Clearing),2015,110
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+3,Other (Direct to Clearing),2015,110
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+4,Other (Direct to Clearing),2015,110
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+5,Other (Direct to Clearing),2015,110
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+6,Other (Direct to Clearing),2015,100
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+7,Other (Direct to Clearing),2015,100
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+8,Other (Direct to Clearing),2015,100
21-24,Direct to Clearing,EU (excluding UK),All,JCQ,Other (Direct to Clearing),2015,120
21-24,Direct to Clearing,EU (excluding UK),All,SQA results day,Other (Direct to Clearing),2015,90
21-24,Direct to Clearing,EU (excluding UK),All,1 day after SQA results day,Placed (Direct to Clearing),2015,20
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+2,Placed (Direct to Clearing),2015,40
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+3,Placed (Direct to Clearing),2015,40
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+4,Placed (Direct to Clearing),2015,50
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+5,Placed (Direct to Clearing),2015,50
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+6,Placed (Direct to Clearing),2015,60
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+7,Placed (Direct to Clearing),2015,70
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+8,Placed (Direct to Clearing),2015,70
21-24,Direct to Clearing,EU (excluding UK),All,JCQ,Placed (Direct to Clearing),2015,20
21-24,Direct to Clearing,EU (excluding UK),All,SQA results day,Placed (Direct to Clearing),2015,10
21-24,Direct to Clearing,EU (excluding UK),All,1 day after SQA results day,All,2016,100
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+2,All,2016,130
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+3,All,2016,130
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+4,All,2016,130
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+5,All,2016,130
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+6,All,2016,140
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+7,All,2016,150
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+8,All,2016,150
21-24,Direct to Clearing,EU (excluding UK),All,JCQ,All,2016,110
21-24,Direct to Clearing,EU (excluding UK),All,SQA results day,All,2016,90
21-24,Direct to Clearing,EU (excluding UK),All,1 day after SQA results day,Other (Direct to Clearing),2016,80
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+2,Other (Direct to Clearing),2016,90
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+3,Other (Direct to Clearing),2016,90
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+4,Other (Direct to Clearing),2016,80
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+5,Other (Direct to Clearing),2016,90
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+6,Other (Direct to Clearing),2016,90
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+7,Other (Direct to Clearing),2016,90
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+8,Other (Direct to Clearing),2016,90
21-24,Direct to Clearing,EU (excluding UK),All,JCQ,Other (Direct to Clearing),2016,80
21-24,Direct to Clearing,EU (excluding UK),All,SQA results day,Other (Direct to Clearing),2016,70
21-24,Direct to Clearing,EU (excluding UK),All,1 day after SQA results day,Placed (Direct to Clearing),2016,20
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+2,Placed (Direct to Clearing),2016,40
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+3,Placed (Direct to Clearing),2016,40
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+4,Placed (Direct to Clearing),2016,50
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+5,Placed (Direct to Clearing),2016,50
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+6,Placed (Direct to Clearing),2016,50
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+7,Placed (Direct to Clearing),2016,50
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+8,Placed (Direct to Clearing),2016,60
21-24,Direct to Clearing,EU (excluding UK),All,JCQ,Placed (Direct to Clearing),2016,30
21-24,Direct to Clearing,EU (excluding UK),All,SQA results day,Placed (Direct to Clearing),2016,20
21-24,Direct to Clearing,EU (excluding UK),All,1 day after SQA results day,All,2017,90
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+2,All,2017,130
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+3,All,2017,130
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+4,All,2017,140
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+5,All,2017,140
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+6,All,2017,150
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+7,All,2017,150
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+8,All,2017,150
21-24,Direct to Clearing,EU (excluding UK),All,JCQ,All,2017,110
21-24,Direct to Clearing,EU (excluding UK),All,SQA results day,All,2017,90
21-24,Direct to Clearing,EU (excluding UK),All,1 day after SQA results day,Other (Direct to Clearing),2017,70
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+2,Other (Direct to Clearing),2017,80
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+3,Other (Direct to Clearing),2017,70
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+4,Other (Direct to Clearing),2017,80
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+5,Other (Direct to Clearing),2017,80
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+6,Other (Direct to Clearing),2017,80
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+7,Other (Direct to Clearing),2017,80
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+8,Other (Direct to Clearing),2017,80
21-24,Direct to Clearing,EU (excluding UK),All,JCQ,Other (Direct to Clearing),2017,80
21-24,Direct to Clearing,EU (excluding UK),All,SQA results day,Other (Direct to Clearing),2017,70
21-24,Direct to Clearing,EU (excluding UK),All,1 day after SQA results day,Placed (Direct to Clearing),2017,20
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+2,Placed (Direct to Clearing),2017,50
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+3,Placed (Direct to Clearing),2017,60
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+4,Placed (Direct to Clearing),2017,60
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+5,Placed (Direct to Clearing),2017,60
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+6,Placed (Direct to Clearing),2017,70
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+7,Placed (Direct to Clearing),2017,70
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+8,Placed (Direct to Clearing),2017,70
21-24,Direct to Clearing,EU (excluding UK),All,JCQ,Placed (Direct to Clearing),2017,30
21-24,Direct to Clearing,EU (excluding UK),All,SQA results day,Placed (Direct to Clearing),2017,20
21-24,Direct to Clearing,EU (excluding UK),All,1 day after SQA results day,All,2018,100
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+2,All,2018,150
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+3,All,2018,150
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+4,All,2018,150
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+5,All,2018,160
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+6,All,2018,160
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+7,All,2018,170
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+8,All,2018,170
21-24,Direct to Clearing,EU (excluding UK),All,JCQ,All,2018,140
21-24,Direct to Clearing,EU (excluding UK),All,SQA results day,All,2018,100
21-24,Direct to Clearing,EU (excluding UK),All,1 day after SQA results day,Other (Direct to Clearing),2018,90
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+2,Other (Direct to Clearing),2018,110
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+3,Other (Direct to Clearing),2018,110
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+4,Other (Direct to Clearing),2018,110
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+5,Other (Direct to Clearing),2018,100
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+6,Other (Direct to Clearing),2018,100
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+7,Other (Direct to Clearing),2018,100
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+8,Other (Direct to Clearing),2018,100
21-24,Direct to Clearing,EU (excluding UK),All,JCQ,Other (Direct to Clearing),2018,110
21-24,Direct to Clearing,EU (excluding UK),All,SQA results day,Other (Direct to Clearing),2018,80
21-24,Direct to Clearing,EU (excluding UK),All,1 day after SQA results day,Placed (Direct to Clearing),2018,20
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+2,Placed (Direct to Clearing),2018,50
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+3,Placed (Direct to Clearing),2018,50
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+4,Placed (Direct to Clearing),2018,50
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+5,Placed (Direct to Clearing),2018,60
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+6,Placed (Direct to Clearing),2018,60
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+7,Placed (Direct to Clearing),2018,70
21-24,Direct to Clearing,EU (excluding UK),All,JCQ+8,Placed (Direct to Clearing),2018,70
21-24,Direct to Clearing,EU (excluding UK),All,JCQ,Placed (Direct to Clearing),2018,30
21-24,Direct to Clearing,EU (excluding UK),All,SQA results day,Placed (Direct to Clearing),2018,20
