MSA,Metric,Total,Occupied,Vacant
"Elkhart-Goshen, IN",Margin of Error,38,"1,417","1,426"
"Elmira, NY",Estimate,"39,311","34,319","4,992"
"Elmira, NY",Margin of Error,42,"1,300","1,297"
"El Paso, TX",Estimate,"325,181","301,489","23,692"
"El Paso, TX",Margin of Error,531,"3,292","3,363"
"Enid, OK",Estimate,"27,802","23,054","4,748"
"Enid, OK",Margin of Error,76,"1,199","1,208"
"Erie, PA",Estimate,"120,123","111,286","8,837"
"Erie, PA",Margin of Error,138,"1,673","1,666"
"Eugene-Springfield, OR",Estimate,"170,014","160,316","9,698"
"Eugene-Springfield, OR",Margin of Error,136,"2,002","1,985"
"Evansville, IN-KY",Estimate,"143,580","132,135","11,445"
"Evansville, IN-KY",Margin of Error,750,"1,617","1,920"
"Fairbanks, AK",Estimate,"42,685","37,356","5,329"
"Fairbanks, AK",Margin of Error,109,"1,259","1,244"
"Fargo, ND-MN",Estimate,"116,595","110,171","6,424"
"Fargo, ND-MN",Margin of Error,130,"1,937","1,958"
"Farmington, NM",Estimate,"48,191","41,542","6,649"
"Farmington, NM",Margin of Error,56,"1,333","1,340"
"Fayetteville, NC",Estimate,"219,551","202,349","17,202"
"Fayetteville, NC",Margin of Error,168,"2,000","2,016"
"Fayetteville-Springdale-Rogers, AR",Estimate,"235,519","216,921","18,598"
"Fayetteville-Springdale-Rogers, AR",Margin of Error,967,"3,272","3,142"
"Flagstaff, AZ",Estimate,"70,560","53,988","16,572"
"Flagstaff, AZ",Margin of Error,154,"2,026","1,994"
"Flint, MI",Estimate,"183,950","167,950","16,000"
"Flint, MI",Margin of Error,112,"2,366","2,353"
"Florence, SC",Estimate,"91,892","79,506","12,386"
"Florence, SC",Margin of Error,40,"2,258","2,258"
"Florence-Muscle Shoals, AL",Estimate,"73,041","64,312","8,729"
"Florence-Muscle Shoals, AL",Margin of Error,119,"1,734","1,760"
"Fond du Lac, WI",Estimate,"46,061","43,958","2,103"
"Fond du Lac, WI",Margin of Error,108,657,653
"Fort Collins, CO",Estimate,"164,525","154,391","10,134"
"Fort Collins, CO",Margin of Error,165,"1,840","1,844"
"Fort Smith, AR-OK",Estimate,"109,717","99,401","10,316"
"Fort Smith, AR-OK",Margin of Error,987,"2,229","2,114"
"Fort Wayne, IN",Estimate,"181,049","169,643","11,406"
"Fort Wayne, IN",Margin of Error,89,"2,511","2,537"
"Fresno, CA",Estimate,"345,476","326,981","18,495"
"Fresno, CA",Margin of Error,284,"2,390","2,350"
"Gadsden, AL",Estimate,"47,642","39,956","7,686"
"Gadsden, AL",Margin of Error,46,"1,533","1,531"
"Gainesville, FL",Estimate,"157,828","143,046","14,782"
"Gainesville, FL",Margin of Error,"1,187","2,355","2,302"
"Gainesville, GA",Estimate,"81,270","74,331","6,939"
"Gainesville, GA",Margin of Error,64,"1,630","1,627"
"Gettysburg, PA",Estimate,"43,653","40,676","2,977"
"Gettysburg, PA",Margin of Error,93,931,919
"Glens Falls, NY",Estimate,"69,596","54,954","14,642"
"Glens Falls, NY",Margin of Error,134,"1,855","1,858"
"Goldsboro, NC",Estimate,"53,515","47,283","6,232"
"Goldsboro, NC",Margin of Error,86,"1,636","1,638"
"Grand Forks, ND-MN",Estimate,"48,714","42,754","5,960"
"Grand Forks, ND-MN",Margin of Error,90,"1,315","1,321"
"Grand Island, NE",Estimate,"32,092","30,423","1,669"
"Grand Island, NE",Margin of Error,31,668,668
"Grand Junction, CO",Estimate,"69,987","66,134","3,853"
